,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season,PKG,PKA
1026,Dominic Schell,CLB,M-D,7,1,138,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,8,6,0,0,0,0.0,2000,reg,0,0
1027,Dahir Mohammed,MET,D,3,1,208,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,4,0,1,0,0.0,2000,reg,0,0
1028,Jeremy Aldrich,MIA,D,4,1,154,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,4,0,0,0,0.0,2000,reg,0,0
1029,Ray Goodlett,DC ,D,4,3,223,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,6,3,0,1,0,0.0,2000,reg,0,0
1030,Sam George,CHI,M,16,3,321,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,3,1,0,0,0.0,2000,reg,0,0
1031,Brian Haynes,DAL,M,1,0,23,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,0.0,2000,reg,0,0
1032,Tahj Jakins,COL,D,3,2,175,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,8,4,0,1,1,100.0,2000,reg,0,0
1033,Mohammad Khakpour,MET,D,5,5,382,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,8,4,0,2,0,0.0,2000,reg,0,0
1034,Jorge Salcedo,LA ,M,5,3,251,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,1,0,1,0,100.0,2000,reg,0,0
1035,Wade Barrett,SJ ,D,3,2,163,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,1,0,1,0,100.0,2000,reg,0,0
1036,Adam Frye,LA ,D,6,3,238,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,6,0,0,0,0.0,2000,reg,0,0
1037,Nick Garcia,KC ,D,32,32,2916,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,33,47,0,3,0,0.0,2000,reg,0,0
1038,Orlando Perez,MET,D,15,4,546,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,9,12,1,1,1,100.0,2000,reg,0,0
1039,Seth Trembly,COL,M-D,4,0,21,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,1,0,50.0,2000,reg,0,0
1040,Tenywa Bonseu,CHI,D,2,1,92,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,0,0,50.0,2000,reg,0,0
1041,Keyeno Thomas,COL,M-D,12,5,592,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,17,7,0,1,0,0.0,2000,reg,0,0
1042,Adam Eyre,NE ,D,10,8,742,0,0,2,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,11,3,0,1,0,100.0,2000,reg,0,0
1043,Jeff DiMaria,COL,F,4,2,193,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,6,0,1,0,50.0,2000,reg,0,0
1044,Francis Okaroh,MIA,D,13,13,1191,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,18,10,0,3,0,0.0,2000,reg,0,0
1045,Amos Magee,TB ,F,7,0,51,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,1,0,0,50.0,2000,reg,0,0
1046,Miroslaw Rzepa,CLB,M-D,5,4,352,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,9,3,0,1,1,0.0,2000,reg,0,0
1047,Mark Semioli,MET,D,16,7,715,0,0,3,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,11,17,0,0,0,33.33,2000,reg,0,0
1048,Brandon Prideaux,KC ,D,31,31,2809,0,0,3,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,38,58,0,4,0,66.67,2000,reg,0,0
1049,Tim Sahaydak,MIA,D,9,7,709,0,0,4,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,13,5,0,1,0,25.0,2000,reg,0,0
1050,Carlos Parra,NE ,M,14,4,438,0,0,4,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,20,4,0,5,0,0.0,2000,reg,0,0
1051,Steve Armas,CLB,M,4,4,276,0,0,4,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,2,1,2,0,25.0,2000,reg,0,0
1052,Marvin Quijano,LA ,F,5,1,185,0,0,5,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,4,5,0,0,20.0,2000,reg,0,0
1053,Eduardo Hurtado,NE ,F,3,1,161,0,0,5,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,3,5,0,0,40.0,2000,reg,0,0
1054,Manuel Bucuane,TB ,F,6,1,147,0,0,5,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,2,4,0,0,20.0,2000,reg,0,0
1055,Rusty Pierce,NE ,D,29,29,2600,0,0,6,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,66,55,0,7,0,16.67,2000,reg,0,0
1056,Ivan Polic,LA ,M,12,4,378,0,0,6,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,12,6,0,1,0,33.33,2000,reg,0,0
1057,Alex Bunbury,KC ,F,5,3,259,0,0,6,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,6,3,0,0,0.0,2000,reg,0,0
1058,Mike Burke,DAL,F,9,4,331,0,0,6,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,10,3,3,2,0,33.33,2000,reg,0,0
1059,Robin Fraser,LA ,D,25,24,2244,0,0,7,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,35,17,0,5,1,14.29,2000,reg,0,0
1060,Scott Bower,SJ ,M,12,5,537,0,0,10,4,0,0/0,0,0,0.0,0.0,0,0,0,0.0,12,6,1,3,0,40.0,2000,reg,0,0
1061,David Hayes,DC ,F,10,4,414,0,0,10,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,3,3,0,0,30.0,2000,reg,0,0
1062,Alex Pineda Chacon,MIA,M,25,23,2055,19,9,63,36,7,0/0,14,5,0.83,30.2,1,7,2,0.39,14,38,7,0,0,57.14,2001,reg,0,0
1063,Diego Serna,MIA,F,22,22,1978,15,15,90,37,3,0/0,7,8,0.68,16.7,7,10,5,0.68,73,72,27,8,2,41.11,2001,reg,0,0
1064,John Spencer,COL,F,23,22,2083,14,7,76,36,2,2/2,9,5,0.6,18.4,2,3,4,0.3,43,50,24,5,0,47.37,2001,reg,2,2
1065,Abdul Thompson Conteh,DC ,F,25,17,1676,14,1,71,45,5,0/0,13,1,0.75,19.7,0,0,1,0.05,26,23,30,2,0,63.38,2001,reg,0,0
1066,Ariel Graziani,DAL,F,25,24,2208,11,8,83,40,2,0/0,7,4,0.45,13.3,0,5,3,0.33,39,41,37,6,0,48.19,2001,reg,0,0
1067,Ronald Cerritos,SJ ,F,25,23,1954,11,6,45,30,2,1/2,8,3,0.51,24.4,0,3,3,0.28,27,20,23,0,0,66.67,2001,reg,1,2
1068,Jeff Cunningham,CLB,F,22,20,1770,10,13,72,32,5,1/1,6,4,0.51,13.9,3,10,3,0.66,25,55,19,3,1,44.44,2001,reg,1,1
1069,Eric Wynalda,CHI,F,24,13,1349,10,5,53,25,3,1/1,6,4,0.67,18.9,1,0,5,0.33,21,12,19,1,0,47.17,2001,reg,1,1
1070,Jaime Moreno,DC ,F,24,23,1888,9,6,60,40,2,2/3,4,5,0.43,15.0,1,5,1,0.29,31,87,9,4,0,66.67,2001,reg,2,3
1071,Mamadou Diallo,TB ,F,22,20,1818,9,5,94,41,0,3/4,6,3,0.45,9.6,1,2,3,0.25,31,42,56,5,1,43.62,2001,reg,3,4
1072,John Wilmar Perez,CLB,M,25,23,2105,8,15,41,20,1,0/0,6,2,0.34,19.5,5,10,5,0.64,19,52,2,3,0,48.78,2001,reg,0,0
1073,Preki,MIA,M,24,24,2139,8,14,80,40,1,2/3,5,3,0.34,10.0,6,6,8,0.59,19,48,2,3,0,50.0,2001,reg,2,3
1074,Cate,NE ,M,22,20,1807,8,8,47,23,1,5/5,6,2,0.4,17.0,2,6,2,0.4,16,36,13,1,1,48.94,2001,reg,5,5
1075,Manny Lagos,SJ ,M,26,26,2310,8,8,65,39,3,0/0,5,3,0.31,12.3,2,6,2,0.31,38,64,4,3,1,60.0,2001,reg,0,0
1076,Dema Kovalenko,CHI,M,25,25,2311,8,7,45,21,4,1/1,6,2,0.31,17.8,2,5,2,0.27,35,49,6,8,0,46.67,2001,reg,1,1
1077,Brian Maisonneuve,CLB,M,25,25,2184,8,5,26,14,2,0/0,4,4,0.33,30.8,1,2,3,0.21,57,28,3,1,0,53.85,2001,reg,0,0
1078,Luis Hernandez,LA ,F,14,12,1189,8,3,45,29,3,1/1,3,5,0.61,17.8,2,3,0,0.23,27,43,23,6,0,64.44,2001,reg,1,1
1079,Rodrigo Faria,MET,F,21,11,1344,8,2,55,30,1,0/0,4,4,0.54,14.5,1,1,1,0.13,29,21,16,2,0,54.55,2001,reg,0,0
1080,Landon Donovan,SJ ,M-F,22,17,1666,7,10,46,26,2,1/1,4,3,0.38,15.2,2,5,5,0.54,30,40,8,3,0,56.52,2001,reg,1,1
1081,Jason Kreis,DAL,M,25,25,2175,7,10,77,32,2,0/0,4,3,0.29,9.1,1,7,3,0.41,31,38,15,2,0,41.56,2001,reg,0,0
1082,Steve Ralston,TB ,M,25,25,2221,7,6,18,11,0,0/0,4,3,0.28,38.9,1,5,1,0.24,25,43,4,1,1,61.11,2001,reg,0,0
1083,Clint Mathis,MET,M,10,10,905,7,5,44,17,2,0/0,7,0,0.7,15.9,1,3,2,0.5,15,26,10,6,0,38.64,2001,reg,0,0
1084,Sasha Victorine,LA ,M,24,21,1758,7,5,46,24,1,0/0,4,3,0.36,15.2,1,1,4,0.26,19,35,19,0,0,52.17,2001,reg,0,0
1085,Dante Washington,CLB,F,21,13,1203,7,3,38,24,1,0/0,6,1,0.52,18.4,1,2,1,0.22,13,36,13,0,0,63.16,2001,reg,0,0
1086,Roy Lassiter,KC ,F,23,19,1648,7,1,29,18,2,1/1,4,3,0.38,24.1,0,1,0,0.05,29,37,24,5,0,62.07,2001,reg,1,1
1087,Peter Nowak,CHI,M,18,18,1560,6,10,39,16,0,0/0,3,3,0.35,15.4,3,5,5,0.58,15,48,5,3,1,41.03,2001,reg,0,0
1088,Cobi Jones,LA ,M,22,22,1890,6,10,41,23,0,0/0,3,3,0.29,14.6,4,4,6,0.48,22,58,15,1,0,56.1,2001,reg,0,0
1089,Jim Rooney,MIA,M,25,25,2294,6,9,40,23,3,0/0,4,2,0.24,15.0,3,6,3,0.35,45,25,3,6,0,57.5,2001,reg,0,0
1090,Hristo Stoitchkov,CHI,F,17,10,916,6,5,53,28,1,2/3,3,3,0.59,11.3,3,2,3,0.49,14,27,9,4,0,52.83,2001,reg,2,3
1091,Jorge Rodriguez,DAL,M-D,24,24,2232,6,4,35,17,2,3/3,4,2,0.24,17.1,0,1,3,0.16,35,18,0,5,0,48.57,2001,reg,3,3
1092,Greg Vanney,LA ,D,22,22,2032,6,3,21,14,0,4/6,3,3,0.27,28.6,3,1,2,0.13,32,11,0,8,0,66.67,2001,reg,4,6
1093,Matt Okoh,NE ,F,18,9,885,6,2,40,19,2,1/1,3,3,0.61,15.0,1,2,0,0.2,39,24,12,5,0,47.5,2001,reg,1,1
1094,Paul Bravo,COL,M,23,15,1352,6,0,43,21,2,0/0,0,6,0.4,14.0,0,0,0,0.0,21,40,9,1,0,48.84,2001,reg,0,0
1095,Bobby Rhine,DAL,M,18,10,972,5,7,37,24,1,0/0,3,2,0.46,13.5,2,6,1,0.65,24,20,11,2,0,64.86,2001,reg,0,0
1096,Marcelo Balboa,COL,D,24,22,2119,5,6,52,22,0,0/0,4,1,0.21,9.6,0,1,5,0.25,29,26,1,0,0,42.31,2001,reg,0,0
1097,Brian West,CLB,M-F,21,19,1657,5,5,23,12,2,0/0,1,4,0.27,21.7,0,2,3,0.27,30,25,10,2,0,52.17,2001,reg,0,0
1098,Petter Villegas,MET,M,22,22,1798,5,5,36,14,3,0/1,3,2,0.25,13.9,2,2,3,0.25,32,35,8,2,1,38.89,2001,reg,0,1
1099,Chris Carrieri,COL,F,19,11,1081,5,4,24,11,1,0/0,1,4,0.42,20.8,1,1,3,0.33,15,28,11,3,0,45.83,2001,reg,0,0
1100,Adolfo Valencia,MET,F,17,14,1155,5,4,33,19,1,0/0,3,2,0.39,15.2,2,2,2,0.31,25,14,17,0,0,57.58,2001,reg,0,0
1101,Dwayne De Rosario,SJ ,M,21,11,1072,5,4,46,24,2,0/1,3,2,0.42,10.9,1,2,2,0.34,21,25,20,1,0,52.17,2001,reg,0,1
1102,Ezra Hendrickson,LA ,D,23,23,2132,5,3,34,13,5,0/0,3,2,0.21,14.7,0,2,1,0.13,45,14,6,5,0,38.24,2001,reg,0,0
1103,Junior Agogo,COL,F,24,11,1186,5,3,50,23,0,0/0,3,2,0.38,10.0,0,3,0,0.23,32,25,37,0,0,46.0,2001,reg,0,0
1104,Chris Brown,KC ,M-F,27,23,2034,5,2,37,18,1,0/0,3,2,0.22,13.5,1,0,2,0.09,19,38,8,1,0,48.65,2001,reg,0,0
1105,Matt McKeon,KC ,D,26,26,2372,5,2,48,22,0,2/2,1,4,0.19,10.4,0,1,1,0.08,76,28,6,6,0,45.83,2001,reg,2,2
1106,Ted Chronopoulos,NE ,D,16,15,1314,5,1,15,7,2,0/0,5,0,0.34,33.3,0,1,0,0.07,21,15,3,1,0,46.67,2001,reg,0,0
1107,Santino Quaranta,DC ,M-F,16,10,949,5,1,34,18,0,0/0,0,5,0.47,14.7,0,1,0,0.09,21,39,12,1,0,52.94,2001,reg,0,0
1108,Francisco Gomez,KC ,M,24,16,1320,4,6,32,13,2,0/0,1,3,0.27,12.5,4,4,2,0.41,17,24,0,0,1,40.62,2001,reg,0,0
1109,Mark Lisi,DC ,M,25,20,1720,4,5,33,16,1,0/0,3,1,0.21,12.1,2,4,1,0.26,26,26,2,1,0,48.48,2001,reg,0,0
1110,Raul Diaz Arce,COL,F,14,12,944,4,4,24,12,0,1/1,4,0,0.38,16.7,1,3,1,0.38,14,20,25,0,0,50.0,2001,reg,1,1
1111,Jamar Beasley,CHI,M,19,8,746,4,3,29,17,2,0/0,1,3,0.48,13.8,0,0,3,0.36,20,23,17,0,0,58.62,2001,reg,0,0
1112,Onandi Lowe,KC ,F,13,10,1034,4,3,66,27,2,0/0,4,0,0.35,6.1,1,1,2,0.26,24,60,18,4,0,40.91,2001,reg,0,0
1113,Ian Russell,SJ ,D,26,26,2216,3,9,27,12,1,0/0,1,2,0.12,11.1,4,4,5,0.37,42,43,5,6,0,44.44,2001,reg,0,0
1114,Chris Henderson,MIA,M,25,25,2184,3,8,41,17,0,0/0,1,2,0.12,7.3,3,4,4,0.33,42,45,26,3,0,41.46,2001,reg,0,0
1115,Jesse Marsch,CHI,M,27,27,2429,3,7,18,8,2,0/0,2,1,0.11,16.7,1,4,3,0.26,44,41,3,6,0,44.44,2001,reg,0,0
1116,Andy Williams,NE ,M,20,17,1465,3,7,45,16,1,0/0,1,2,0.18,6.7,1,7,0,0.43,29,63,5,2,0,35.56,2001,reg,0,0
1117,Chris Klein,KC ,M,24,23,2039,3,6,25,11,1,0/0,2,1,0.13,12.0,4,4,2,0.26,24,16,8,2,0,44.0,2001,reg,0,0
1118,Mark Chung,MET,M,26,24,2226,3,6,56,25,2,0/1,2,1,0.12,5.4,2,2,4,0.24,36,71,7,1,0,44.64,2001,reg,0,1
1119,Wolde Harris,NE ,F,21,17,1584,3,5,43,22,1,1/2,3,0,0.17,7.0,2,3,2,0.28,36,32,21,1,0,51.16,2001,reg,1,2
1120,Peter Vagenas,LA ,M,26,25,2197,3,3,22,7,0,0/0,1,2,0.12,13.6,1,1,2,0.12,52,29,1,2,0,31.82,2001,reg,0,0
1121,Robert Warzycha,CLB,M,11,9,710,3,2,13,5,0,0/0,1,2,0.38,23.1,0,2,0,0.25,11,17,0,2,1,38.46,2001,reg,0,0
1122,Tyrone Marshall,MIA,D,23,20,1831,3,2,15,6,1,0/0,1,2,0.15,20.0,1,0,2,0.1,29,20,3,5,0,40.0,2001,reg,0,0
1123,Devin Barclay,TB ,F,23,12,1324,3,2,24,15,1,0/0,3,0,0.2,12.5,0,0,2,0.14,12,35,12,2,0,62.5,2001,reg,0,0
1124,Edson Buddle,CLB,F,17,5,556,3,2,24,12,0,0/0,1,2,0.49,12.5,0,1,1,0.32,9,2,5,0,0,50.0,2001,reg,0,0
1125,Danny Califf,LA ,D,24,23,2161,3,1,14,7,1,0/0,2,1,0.12,21.4,0,1,0,0.04,58,23,0,9,0,50.0,2001,reg,0,0
1126,Josh Keller,TB ,M,22,22,1952,3,1,17,8,2,0/0,2,1,0.14,17.6,0,1,0,0.05,39,28,1,8,0,47.06,2001,reg,0,0
1127,William Sunsing,NE ,F,22,11,1100,3,1,26,8,0,0/0,3,0,0.25,11.5,0,0,1,0.08,13,33,10,1,0,30.77,2001,reg,0,0
1128,Billy Walsh,MET,M,11,8,756,3,0,11,5,0,0/0,1,2,0.36,27.3,0,0,0,0.0,17,3,1,1,0,45.45,2001,reg,0,0
1129,Stephen Armstrong,DC ,M,15,12,1112,3,0,17,11,0,0/0,1,2,0.24,17.6,0,0,0,0.0,33,19,0,3,0,64.71,2001,reg,0,0
1130,Oscar Pareja,DAL,M,24,24,2113,2,12,42,16,0,0/0,0,2,0.09,4.8,4,7,5,0.51,59,56,3,6,0,38.1,2001,reg,0,0
1131,Eric Quill,TB ,F,24,23,1840,2,8,33,11,0,0/0,1,1,0.1,6.1,2,6,2,0.39,25,23,8,3,1,33.33,2001,reg,0,0
1132,Mauricio Cienfuegos,LA ,M,25,25,2229,2,7,35,14,0,0/0,1,1,0.08,5.7,2,3,4,0.28,27,49,4,3,0,40.0,2001,reg,0,0
1133,DaMarcus Beasley,CHI,D,24,24,2156,2,6,27,18,1,0/0,0,2,0.08,7.4,1,1,5,0.25,38,82,8,4,0,66.67,2001,reg,0,0
1134,Johnny Torres,MIA,F,23,15,1446,2,5,32,21,0,0/1,2,0,0.12,6.3,2,5,0,0.31,31,24,15,5,0,65.62,2001,reg,0,1
1135,Gary Glasgow,KC ,F,18,11,1124,2,5,35,14,1,0/0,2,0,0.16,5.7,2,4,1,0.4,23,31,8,2,0,40.0,2001,reg,0,0
1136,Joselito Vaca,DAL,M,21,17,1461,2,4,25,9,1,0/0,1,1,0.12,8.0,0,1,3,0.25,23,24,5,1,0,36.0,2001,reg,0,0
1137,Chad Deering,DAL,M,25,25,2317,2,4,30,12,0,0/0,0,2,0.08,6.7,2,1,3,0.16,47,22,0,5,0,40.0,2001,reg,0,0
1138,Richard Farrer,DAL,D,25,24,2108,2,3,5,3,0,0/0,1,1,0.09,40.0,0,1,2,0.13,28,16,2,6,0,60.0,2001,reg,0,0
1139,Zak Ibsen,SJ ,M,24,24,2137,2,3,11,6,1,0/0,1,1,0.08,18.2,0,1,2,0.13,33,21,0,3,1,54.55,2001,reg,0,0
1140,Ryan Suarez,DAL,D,20,19,1666,2,3,11,5,1,0/0,1,1,0.11,18.2,0,1,2,0.16,34,23,3,6,0,45.45,2001,reg,0,0
1141,Sergi Daniv,CHI,M,14,9,813,2,3,14,6,0,0/0,0,2,0.22,14.3,1,3,0,0.33,24,22,0,3,0,42.86,2001,reg,0,0
1142,Carey Talley,DC ,D,22,20,1890,2,3,20,12,0,0/1,1,1,0.1,10.0,0,3,0,0.14,55,35,0,9,1,60.0,2001,reg,0,1
1143,Pablo Mastroeni,MIA,M,25,25,2290,2,2,2,2,1,0/0,1,1,0.08,100.0,1,1,1,0.08,30,34,0,6,0,100.0,2001,reg,0,0
1144,Jeff Agoos,SJ ,D,20,20,1765,2,2,8,5,1,0/0,0,2,0.1,25.0,0,1,1,0.1,13,22,0,3,0,62.5,2001,reg,0,0
1145,Alexi Lalas,LA ,D,11,9,764,2,2,10,7,1,0/0,1,1,0.24,20.0,0,1,1,0.24,18,10,1,1,0,70.0,2001,reg,0,0
1146,Marvin Quijano,LA ,F,12,9,730,2,2,16,11,1,0/0,1,1,0.25,12.5,0,2,0,0.25,15,26,5,1,0,68.75,2001,reg,0,0
1147,Adam Frye,LA ,D,22,9,1065,2,2,17,9,0,0/0,2,0,0.17,11.8,0,1,1,0.17,16,15,3,1,0,52.94,2001,reg,0,0
1148,Brian Mullan,LA ,D,10,9,809,2,2,21,11,0,0/0,0,2,0.22,9.5,0,0,2,0.22,16,13,17,0,0,52.38,2001,reg,0,0
1149,Alex Comas,MET,M,12,10,748,2,2,21,11,1,1/1,2,0,0.24,9.5,0,2,0,0.24,21,8,1,4,1,52.38,2001,reg,1,1
1150,Aleksey Korol,DAL,F,15,3,372,2,1,12,6,0,0/0,0,2,0.48,16.7,0,0,1,0.24,12,2,1,1,0,50.0,2001,reg,0,0
1151,Ali Curtis,TB ,F,20,12,1211,2,1,30,12,1,0/0,0,2,0.15,6.7,0,1,0,0.07,23,24,8,0,0,40.0,2001,reg,0,0
1152,Troy Dayak,SJ ,D,25,25,2236,2,0,10,5,0,0/0,1,1,0.08,20.0,0,0,0,0.0,25,16,2,4,0,50.0,2001,reg,0,0
1153,Eddie Johnson,DAL,F,10,1,263,2,0,10,4,0,0/0,2,0,0.68,20.0,0,0,0,0.0,7,3,1,0,0,40.0,2001,reg,0,0
1154,Josh Wolff,CHI,F,3,3,244,2,0,12,4,2,0/0,1,1,0.74,16.7,0,0,0,0.0,8,9,3,0,0,33.33,2001,reg,0,0
1155,Mauricio Wright,NE ,D,24,24,2156,2,0,19,6,0,0/0,1,1,0.08,10.5,0,0,0,0.0,30,42,1,4,1,31.58,2001,reg,0,0
1156,Ante Razov,CHI,F,7,6,541,2,0,26,11,1,0/0,1,1,0.33,7.7,0,0,0,0.0,8,11,12,1,0,42.31,2001,reg,0,0
1157,Ross Paule,COL,M,25,13,1481,1,11,23,12,0,0/0,0,1,0.06,4.3,2,4,7,0.67,28,26,2,4,0,52.17,2001,reg,0,0
1158,Simon Elliott,LA ,M,21,21,1909,1,11,48,18,1,0/0,0,1,0.05,2.1,2,6,5,0.52,19,24,0,3,0,37.5,2001,reg,0,0
1159,Antonio Martinez,DAL,F-M,17,10,1011,1,9,9,4,0,0/0,1,0,0.09,11.1,2,6,3,0.8,15,17,8,1,0,44.44,2001,reg,0,0
1160,Carlos Valderrama,COL,M,24,24,2142,1,9,18,4,0,1/2,0,1,0.04,5.6,1,5,4,0.38,12,37,1,4,2,22.22,2001,reg,1,2
1161,Richard Mulrooney,SJ ,M,21,20,1878,1,9,31,13,0,0/0,1,0,0.05,3.2,4,5,4,0.43,26,41,0,4,0,41.94,2001,reg,0,0
1162,Bobby Convey,DC ,M,12,11,992,1,7,22,11,0,0/0,1,0,0.09,4.5,0,7,0,0.64,24,26,5,4,0,50.0,2001,reg,0,0
1163,Daniel Hernandez,MET,M,16,15,1358,1,7,26,7,1,0/0,0,1,0.07,3.8,2,3,4,0.46,26,42,0,4,0,26.92,2001,reg,0,0
1164,Wade Barrett,SJ ,D,24,23,2125,1,6,5,2,1,0/0,1,0,0.04,20.0,2,2,4,0.25,22,17,1,1,0,40.0,2001,reg,0,0
1165,Jair,TB ,M,25,18,1565,1,6,26,10,0,0/0,0,1,0.06,3.8,0,4,2,0.35,23,26,3,1,0,38.46,2001,reg,0,0
1166,Brian McBride,CLB,F,15,14,1326,1,6,30,13,0,0/0,1,0,0.07,3.3,3,4,2,0.41,14,31,5,0,0,43.33,2001,reg,0,0
1167,Imad Baba,COL,M,22,18,1631,1,6,34,15,0,0/0,0,1,0.06,2.9,0,3,3,0.33,32,26,2,6,0,44.12,2001,reg,0,0
1168,Diego Gutierrez,CHI,D,24,24,2123,1,5,13,10,0,0/1,1,0,0.04,7.7,1,3,2,0.21,52,37,1,4,1,76.92,2001,reg,0,1
1169,Kerry Zavagnin,KC ,M,27,27,2472,1,5,27,6,0,0/0,0,1,0.04,3.7,3,5,0,0.18,41,47,0,5,0,22.22,2001,reg,0,0
1170,Eric Denton,DC ,D,24,21,1884,1,4,10,6,0,0/0,1,0,0.05,10.0,3,3,1,0.19,20,18,0,5,0,60.0,2001,reg,0,0
1171,Mike Lapper,CLB,D,24,21,1929,1,3,3,2,0,0/0,0,1,0.05,33.3,1,2,1,0.14,26,17,0,5,0,66.67,2001,reg,0,0
1172,Maurice Johnston,KC ,M-F,11,10,864,1,3,14,7,1,0/0,1,0,0.1,7.1,0,1,2,0.31,18,10,2,0,0,50.0,2001,reg,0,0
1173,Paul Broome,DAL,M,22,16,1513,1,2,2,2,0,0/0,0,1,0.06,50.0,1,2,0,0.12,30,18,0,4,0,100.0,2001,reg,0,0
1174,Carlos Bocanegra,CHI,D,15,13,1250,1,2,5,3,0,0/0,0,1,0.07,20.0,2,1,1,0.14,19,12,0,2,0,60.0,2001,reg,0,0
1175,John Maessner,TB ,M-D,24,17,1707,1,2,10,3,0,0/0,0,1,0.05,10.0,1,1,1,0.11,25,20,1,2,1,30.0,2001,reg,0,0
1176,Mike Duhaney,CLB,D,25,25,2164,1,2,11,5,1,0/0,1,0,0.04,9.1,1,2,0,0.08,35,30,6,2,0,45.45,2001,reg,0,0
1177,Lubos Kubik,DAL,D,11,11,998,1,2,12,5,0,0/0,1,0,0.09,8.3,0,2,0,0.18,12,6,0,0,1,41.67,2001,reg,0,0
1178,Shaker Asad,MIA,M,20,9,978,1,2,14,5,0,0/0,1,0,0.09,7.1,0,2,0,0.18,28,26,2,3,0,35.71,2001,reg,0,0
1179,Steve Trittschuh,TB ,D,18,18,1600,1,2,19,7,0,0/0,1,0,0.06,5.3,1,2,0,0.11,43,10,0,5,0,36.84,2001,reg,0,0
1180,Brian Ching,LA ,F,8,1,228,1,1,4,2,0,0/0,1,0,0.39,25.0,0,1,0,0.39,6,1,2,0,0,50.0,2001,reg,0,0
1181,Mark Santel,KC ,M,21,7,813,1,1,4,3,1,0/0,1,0,0.11,25.0,0,0,1,0.11,24,13,3,1,0,75.0,2001,reg,0,0
1182,Jose Alegria,DC ,M,7,2,277,1,1,4,3,0,0/0,1,0,0.32,25.0,0,1,0,0.32,7,3,0,1,1,75.0,2001,reg,0,0
1183,Joseph Addo,TB ,D,20,17,1467,1,1,8,2,0,0/0,0,1,0.06,12.5,0,1,0,0.06,19,10,0,4,0,25.0,2001,reg,0,0
1184,Leonel Alvarez,NE ,M,22,22,1849,1,1,10,6,0,0/0,0,1,0.05,10.0,0,1,0,0.05,50,20,0,5,0,60.0,2001,reg,0,0
1185,Pedro Alvarez,MET,M,21,17,1494,1,1,13,4,0,0/0,0,1,0.06,7.7,0,1,0,0.06,45,21,1,9,2,30.77,2001,reg,0,0
1186,Ramiro Corrales,SJ ,M,14,11,1058,1,1,17,10,0,0/0,1,0,0.09,5.9,0,0,1,0.09,32,17,0,5,1,58.82,2001,reg,0,0
1187,Chris Albright,DC ,D,23,14,1411,1,1,41,24,0,0/0,0,1,0.06,2.4,1,0,1,0.06,30,39,13,5,0,58.54,2001,reg,0,0
1188,Michael Butler,MET,F,1,0,24,1,0,1,1,1,0/0,0,1,3.75,100.0,0,0,0,0.0,0,0,0,0,0,100.0,2001,reg,0,0
1189,Andrew Lewis,CHI,M,13,5,502,1,0,1,1,0,0/0,1,0,0.18,100.0,0,0,0,0.0,4,3,0,0,1,100.0,2001,reg,0,0
