,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season,PKG,PKA
269,Christopher Sullivan,SJ ,M,24,8,1017,2,6,17,8,1,0/0,1,1,0.18,11.8,0,4,2,0.53,16,19,1,0,0,47.06,1997,reg,0,0
270,Kris Kelderman,DC ,M,24,9,910,2,4,11,6,0,0/0,0,2,0.2,18.2,0,2,2,0.4,8,10,0,1,0,54.55,1997,reg,0,0
271,Tab Ramos,MET,M,13,13,1006,2,4,12,4,1,0/0,2,0,0.18,16.7,1,4,0,0.36,5,20,7,5,0,33.33,1997,reg,0,0
272,Daniel Peinado,DAL,M,25,22,1870,2,4,13,9,0,0/0,1,1,0.1,15.4,2,3,1,0.19,57,46,0,4,1,69.23,1997,reg,0,0
273,Dominic Kinnear,SJ ,M,28,24,1939,2,4,17,6,0,0/0,2,0,0.09,11.8,1,1,3,0.19,39,39,1,1,0,35.29,1997,reg,0,0
274,John Kerr,NE ,F,19,14,1136,2,4,19,15,1,0/0,2,0,0.16,10.5,0,2,2,0.32,24,11,13,1,0,78.95,1997,reg,0,0
275,Doctor Khumalo,CLB,M,18,18,1323,2,4,23,13,2,0/0,1,1,0.14,8.7,1,2,2,0.27,23,21,4,2,0,56.52,1997,reg,0,0
276,Ross Paule,COL,M,19,7,858,2,3,7,4,0,0/0,1,1,0.21,28.6,0,2,1,0.31,15,9,3,1,0,57.14,1997,reg,0,0
277,Alexi Lalas,NE ,D,30,29,2607,2,3,24,10,0,0/0,1,1,0.07,8.3,2,3,0,0.1,60,33,9,8,0,41.67,1997,reg,0,0
278,Marcelo Balboa,COL,D,28,28,2520,2,3,44,13,0,0/0,0,2,0.07,4.5,2,3,0,0.11,23,26,2,2,0,29.55,1997,reg,0,0
279,Jason Farrell,CLB,F,18,10,1027,2,2,25,8,0,0/0,2,0,0.18,8.0,0,1,1,0.18,11,10,4,0,0,32.0,1997,reg,0,0
280,Danny Pena,LA ,D,27,26,2230,2,2,31,12,1,0/0,0,2,0.08,6.5,1,2,0,0.08,34,27,2,7,0,38.71,1997,reg,0,0
281,Wade Webber,DAL,D,18,18,1588,2,1,7,3,0,0/0,1,1,0.11,28.6,0,1,0,0.06,27,13,1,1,0,42.86,1997,reg,0,0
282,Todd Yeagley,CLB,M,27,22,1997,2,1,10,5,0,0/0,1,1,0.09,20.0,0,1,0,0.05,22,35,3,2,1,50.0,1997,reg,0,0
283,Mark Semioli,LA ,D,29,28,2381,2,1,12,4,0,0/0,1,1,0.08,16.7,0,0,1,0.04,43,39,3,7,0,33.33,1997,reg,0,0
284,John Doyle,SJ ,D,27,27,2376,2,1,21,12,1,0/0,2,0,0.08,9.5,0,1,0,0.04,51,25,1,8,0,57.14,1997,reg,0,0
285,Ted Chronopoulos,NE ,D,30,30,2624,2,1,30,13,1,0/0,2,0,0.07,6.7,0,1,0,0.03,50,42,6,6,2,43.33,1997,reg,0,0
286,Frankie Hejduk,TB ,D,23,22,1942,1,6,20,10,1,0/0,1,0,0.05,5.0,1,3,3,0.28,34,43,11,9,2,50.0,1997,reg,0,0
287,Jorge Salcedo,CLB,M,28,26,2240,1,5,21,4,0,0/0,0,1,0.04,4.8,2,3,2,0.2,24,33,0,3,0,19.05,1997,reg,0,0
288,Ryan Tinsley,KC ,D,31,29,2588,1,4,5,3,0,0/0,1,0,0.03,20.0,0,2,2,0.14,43,52,4,4,1,60.0,1997,reg,0,0
289,Brian Kelly,MET,M,21,14,1354,1,4,23,9,0,0/0,0,1,0.07,4.3,2,1,3,0.27,17,26,9,0,0,39.13,1997,reg,0,0
290,Ted Eck,DAL,M-F,30,22,1839,1,4,27,11,0,0/0,0,1,0.05,3.7,1,0,4,0.2,53,32,4,1,1,40.74,1997,reg,0,0
291,Temoc Suarez,DAL,M,19,6,721,1,3,10,3,1,0/0,1,0,0.12,10.0,1,1,2,0.37,10,12,3,0,0,30.0,1997,reg,0,0
292,Alejandro Farias,NE ,M,25,24,2070,1,3,11,5,0,0/0,1,0,0.04,9.1,0,3,0,0.13,38,36,1,2,1,45.45,1997,reg,0,0
293,Jeff Agoos,DC ,D,29,27,2412,1,3,14,9,0,0/0,0,1,0.04,7.1,2,0,3,0.11,32,36,1,1,0,64.29,1997,reg,0,0
294,Istvan Urbanyi,SJ ,M,23,19,1555,1,3,22,9,0,0/0,1,0,0.06,4.5,0,2,1,0.17,28,25,0,3,1,40.91,1997,reg,0,0
295,Greg Vanney,LA ,D,28,27,2318,1,3,28,8,0,0/0,1,0,0.04,3.6,0,2,1,0.12,37,25,6,6,0,28.57,1997,reg,0,0
296,Mike Clark,CLB,D,31,28,2484,1,2,7,4,1,0/0,0,1,0.04,14.3,1,2,0,0.07,34,27,3,4,0,57.14,1997,reg,0,0
297,Branco,MET,D,11,11,922,1,2,8,6,1,0/1,0,1,0.1,12.5,0,1,1,0.2,18,13,0,3,3,75.0,1997,reg,0,1
298,Paul Caligiuri,LA ,D,16,16,1406,1,2,9,7,0,0/0,0,1,0.06,11.1,0,0,2,0.13,17,7,3,4,1,77.78,1997,reg,0,0
299,Diego Sonora,DAL,M-D,16,16,1421,1,2,9,4,0,0/0,0,1,0.06,11.1,1,1,1,0.13,15,25,7,2,0,44.44,1997,reg,0,0
300,Edmundo Rodriguez,KC ,M,16,4,543,1,2,9,3,0,0/0,1,0,0.17,11.1,0,2,0,0.33,11,4,1,2,0,33.33,1997,reg,0,0
301,Michael Emenalo,SJ ,D,27,26,2283,1,2,10,4,0,0/0,0,1,0.04,10.0,0,1,1,0.08,43,25,2,8,0,40.0,1997,reg,0,0
302,Cle Kooiman,TB ,D,27,27,2296,1,2,10,5,0,0/0,1,0,0.04,10.0,0,0,2,0.08,68,19,0,6,2,50.0,1997,reg,0,0
303,Mike Lapper,CLB,D,20,20,1785,1,2,12,4,0,0/0,0,1,0.05,8.3,1,2,0,0.1,32,26,0,2,0,33.33,1997,reg,0,0
304,Brian Bliss,CLB,D,28,24,2047,1,2,13,1,0,0/0,0,1,0.04,7.7,0,2,0,0.09,38,27,3,2,0,7.69,1997,reg,0,0
305,Zico,SJ ,F,7,3,257,1,1,4,3,0,0/0,1,0,0.35,25.0,0,1,0,0.35,2,14,3,0,0,75.0,1997,reg,0,0
306,Billy Thompson,CLB,M,6,4,298,1,1,6,3,1,0/0,0,1,0.3,16.7,0,1,0,0.3,1,6,2,0,0,50.0,1997,reg,0,0
307,Joao Batista,TB ,M,17,12,1051,1,1,6,3,0,0/0,0,1,0.09,16.7,1,1,0,0.09,26,21,2,4,0,50.0,1997,reg,0,0
308,Jorge Flores,DAL,M,12,8,667,1,1,6,3,1,0/0,0,1,0.13,16.7,0,0,1,0.13,12,8,0,0,0,50.0,1997,reg,0,0
309,Brian Johnson,KC ,M,14,10,951,1,1,11,6,0,0/0,0,1,0.09,9.1,1,0,1,0.09,4,8,0,0,0,54.55,1997,reg,0,0
310,Paul Keegan,NE ,F,16,5,652,1,1,12,5,1,0/0,0,1,0.14,8.3,0,0,1,0.14,26,26,9,2,0,41.67,1997,reg,0,0
311,Steve Rammel,COL,F,21,11,1132,1,1,20,13,0,0/0,0,1,0.08,5.0,1,1,0,0.08,23,20,21,1,0,65.0,1997,reg,0,0
312,Musa Shannon,TB ,M-F,5,1,148,1,0,2,1,0,0/0,0,1,0.61,50.0,0,0,0,0.0,2,1,2,0,0,50.0,1997,reg,0,0
313,Brian Kamler,DC ,M,5,1,161,1,0,5,3,0,0/0,0,1,0.56,20.0,0,0,0,0.0,1,2,1,0,0,60.0,1997,reg,0,0
314,Mario Gori,DC ,D,8,8,609,1,0,5,4,0,0/0,1,0,0.15,20.0,0,0,0,0.0,6,7,3,3,0,80.0,1997,reg,0,0
315,Clint Peay,DC ,D,13,8,814,1,0,6,3,0,0/0,1,0,0.11,16.7,0,0,0,0.0,12,7,1,1,0,50.0,1997,reg,0,0
316,Brian Taylor,LA ,M,11,5,413,1,0,9,4,0,0/0,1,0,0.22,11.1,0,0,0,0.0,13,14,5,1,1,44.44,1997,reg,0,0
317,Ansil Elcock,CLB,D,26,21,1858,1,0,10,2,1,0/0,1,0,0.05,10.0,0,0,0,0.0,38,31,2,3,1,20.0,1997,reg,0,0
318,Darren Sawatzky,NE ,F,26,5,895,1,0,16,7,1,0/0,1,0,0.1,6.3,0,0,0,0.0,12,7,8,1,0,43.75,1997,reg,0,0
319,Matt Kmosko,COL,D,31,31,2760,0,3,5,3,0,0/0,0,0,0.0,0.0,1,3,0,0.1,52,29,1,6,1,60.0,1997,reg,0,0
320,Uche Okafor,KC ,D,27,27,2386,0,3,6,2,0,0/0,0,0,0.0,0.0,0,0,3,0.11,40,15,1,4,0,33.33,1997,reg,0,0
321,Tim Martin,SJ ,D,28,28,2422,0,3,7,2,0,0/0,0,0,0.0,0.0,0,3,0,0.11,25,20,2,2,0,28.57,1997,reg,0,0
322,Arnold Cruz,DC ,D,25,23,2058,0,3,17,6,0,0/0,0,0,0.0,0.0,0,2,1,0.13,16,28,0,3,1,35.29,1997,reg,0,0
323,Sergio Miguez,CLB,D,17,16,1361,0,2,1,0,0,0/0,0,0,0.0,0.0,1,1,1,0.13,28,17,0,1,0,0.0,1997,reg,0,0
324,David Vaudreuil,DC ,D,25,19,1790,0,2,4,2,0,0/0,0,0,0.0,0.0,0,2,0,0.1,21,18,2,0,0,50.0,1997,reg,0,0
325,Adam Frye,TB ,D,18,17,1437,0,2,6,1,0,0/0,0,0,0.0,0.0,1,2,0,0.13,28,24,2,4,0,16.67,1997,reg,0,0
326,Tom Soehn,DAL,D,25,21,1948,0,2,7,4,0,0/0,0,0,0.0,0.0,0,1,1,0.09,29,18,0,3,0,57.14,1997,reg,0,0
327,Guillermo Jara,LA ,M,15,2,353,0,2,9,6,0,0/0,0,0,0.0,0.0,1,1,1,0.51,11,4,1,1,0,66.67,1997,reg,0,0
328,Tote Castaneda,COL,M,24,18,1642,0,2,10,3,0,0/0,0,0,0.0,0.0,1,1,1,0.11,13,37,2,0,0,30.0,1997,reg,0,0
329,Manny Lagos,MET,M,15,15,1216,0,2,11,6,0,0/0,0,0,0.0,0.0,1,2,0,0.15,14,31,2,1,0,54.55,1997,reg,0,0
330,Marco Ferruzzi,TB ,M,19,5,578,0,2,15,5,0,0/0,0,0,0.0,0.0,1,1,1,0.31,11,13,4,1,0,33.33,1997,reg,0,0
331,Mike Burns,NE ,M,32,32,2880,0,2,36,18,0,0/0,0,0,0.0,0.0,1,2,0,0.06,41,20,0,5,0,50.0,1997,reg,0,0
332,Gerson Echeverry,MET,F,1,1,74,0,1,1,0,0,0/0,0,0,0.0,0.0,0,1,0,1.22,2,1,1,0,0,0.0,1997,reg,0,0
333,Rafael Amaya,COL,D,7,3,236,0,1,2,1,0,0/0,0,0,0.0,0.0,0,1,0,0.38,11,2,0,1,0,50.0,1997,reg,0,0
334,Bill Harte,NE ,M,9,5,459,0,1,3,1,0,0/0,0,0,0.0,0.0,1,0,1,0.2,10,3,1,0,0,33.33,1997,reg,0,0
335,Peter Hattrup,DAL,M,7,2,225,0,1,4,2,0,0/1,0,0,0.0,0.0,0,1,0,0.4,3,1,2,0,0,50.0,1997,reg,0,1
336,Jose Botello,LA ,F,7,0,151,0,1,4,1,0,0/0,0,0,0.0,0.0,0,0,1,0.6,10,3,1,0,0,25.0,1997,reg,0,0
337,Tahj Jakins,COL,D,19,12,1132,0,1,5,2,0,0/0,0,0,0.0,0.0,0,0,1,0.08,25,12,1,2,0,40.0,1997,reg,0,0
338,Oscar Draguicevich,SJ ,D,13,10,890,0,1,6,0,0,0/0,0,0,0.0,0.0,0,1,0,0.1,18,12,0,3,0,0.0,1997,reg,0,0
339,Cristian da Silva,MET,D,14,6,592,0,1,7,1,0,0/0,0,0,0.0,0.0,0,0,1,0.15,13,8,0,1,0,14.29,1997,reg,0,0
340,Ezra Hendrickson,LA ,D,14,6,797,0,1,7,2,0,0/0,0,0,0.0,0.0,1,1,0,0.11,9,10,0,1,0,28.57,1997,reg,0,0
341,Richard Gough,KC ,D,17,17,1457,0,1,7,5,0,0/0,0,0,0.0,0.0,0,0,1,0.06,24,8,0,4,0,71.43,1997,reg,0,0
342,Steve Jolley,LA ,D,12,10,882,0,1,7,4,0,0/0,0,0,0.0,0.0,0,1,0,0.1,25,17,1,0,0,57.14,1997,reg,0,0
343,Guido,MET,M,9,9,792,0,1,7,1,0,0/0,0,0,0.0,0.0,0,0,1,0.11,17,10,2,2,0,14.29,1997,reg,0,0
344,Rhett Harty,MET,D,26,26,2279,0,1,10,6,0,0/0,0,0,0.0,0.0,1,1,0,0.04,36,13,0,4,0,60.0,1997,reg,0,0
345,Braeden Cloutier,MET,M,17,10,922,0,1,11,5,0,0/0,0,0,0.0,0.0,0,1,0,0.1,11,26,1,1,0,45.45,1997,reg,0,0
346,Francis Okaroh,NE ,D,29,29,2528,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,38,35,0,2,0,100.0,1997,reg,0,0
347,Todd Miller,CLB,M,3,1,81,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,0,0,0,0,0.0,1997,reg,0,0
348,Matt Knowles,MET,D,4,2,173,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,3,0,1,0,100.0,1997,reg,0,0
349,Joao Luiz,MET,D,7,7,585,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,14,8,0,0,0,100.0,1997,reg,0,0
350,Dan Stebbins,DAL,F,1,1,38,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,2,0,0,0,100.0,1997,reg,0,0
351,Damian Silvera,KC ,M,3,1,166,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,5,0,0,0,0.0,1997,reg,0,0
352,Marco Rizi,MET,D,1,0,33,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,0.0,1997,reg,0,0
